"annotation_id","annotator","created_at","dark_intensity","humor_presence","humor_type","id","joke_topic","lead_time","note","rhetorical_device","stand_up","target_category","transcript_text","updated_at","video"
4,"1","2025-11-21T21:28:03.613662Z","1 - Mild","Humor","Dark Humor",3,"{""choices"":[""Work"",""Celebrity and pop culture""]}",175.07999999999998,"","None of these","No","","Quagmire. I'm going to get unbanned from hinge. All right. Peter Griffin. I'm going to start by shoplifting from Wetzel's pretzels. I'm going to shoplift from Wetzel's pretzels, because like what are they going to do? Like jump over the counter and kill me for a pretzel? You don't have the guts to kill me, Wetzel's pretzel. Oh my God. Stewie Griffin. Starting today, no more diaper. No more diaper. I'm going to hold it. Oh, so maybe 20, 25. Brian Griffin. I'm going to quit smoking and start vaping. Shameless. Even know who Shameless is? Yeah. Do you? The guy with the peg arms and the peg legs? Yeah. How many of you know who Shameless is? I want to get into yoga so I can stretch my pigs. Stan Smith. I'm going to turn Guantanamo Bay into an Airbnb. But Roger, I'm going to join a gym so I can do something about these man boobs.","2026-02-12T18:22:12.646230Z","s3://humor-harm-dataset/dataset-s3/XF5atSzGKRI.mp4"
397,"9","2026-02-06T07:07:00.390127Z","","Almost or not sure","None of these",4,"Other",28.157,"","None of these","No","","This is terrifying. Oh no, oh no. Oh! Oh! Oh. Oh. Jimmy just got hit on this. I'm definitely taking this one. How about you to bet you're gonna get hit? I'm feeling lucky. Oh! Oh my God! Is that nacho cheese? Does anyone wanna switch with me? I'm staying right here. Yeah, I definitely think it's at where Darius is. I think it's on mezz. It's definitely Darius. Oh gosh. Oh! Oh! Oh! Oh! Subscribe if you think Madge will get hit. Like if you think Chandler will. No, no, no. Oh! That's definitely the worst one. Chandler wins! Oh!","2026-02-11T22:28:30.858623Z","s3://humor-harm-dataset/dataset-s3/XNtTO_339kU.mp4"
37,"7","2025-12-01T01:48:24.390483Z","","Almost or not sure","None of these",4,"Other",95.39099999999999,"","None of these","No","","This is terrifying. Oh no, oh no. Oh! Oh! Oh. Oh. Jimmy just got hit on this. I'm definitely taking this one. How about you to bet you're gonna get hit? I'm feeling lucky. Oh! Oh my God! Is that nacho cheese? Does anyone wanna switch with me? I'm staying right here. Yeah, I definitely think it's at where Darius is. I think it's on mezz. It's definitely Darius. Oh gosh. Oh! Oh! Oh! Oh! Subscribe if you think Madge will get hit. Like if you think Chandler will. No, no, no. Oh! That's definitely the worst one. Chandler wins! Oh!","2026-02-12T18:22:31.544928Z","s3://humor-harm-dataset/dataset-s3/XNtTO_339kU.mp4"
5,"1","2025-11-21T21:28:55.917072Z","","Not Humor","None of these",4,"Celebrity and pop culture",81.514,"","None of these","No","","This is terrifying. Oh no, oh no. Oh! Oh! Oh. Oh. Jimmy just got hit on this. I'm definitely taking this one. How about you to bet you're gonna get hit? I'm feeling lucky. Oh! Oh my God! Is that nacho cheese? Does anyone wanna switch with me? I'm staying right here. Yeah, I definitely think it's at where Darius is. I think it's on mezz. It's definitely Darius. Oh gosh. Oh! Oh! Oh! Oh! Subscribe if you think Madge will get hit. Like if you think Chandler will. No, no, no. Oh! That's definitely the worst one. Chandler wins! Oh!","2026-02-11T22:27:58.846702Z","s3://humor-harm-dataset/dataset-s3/XNtTO_339kU.mp4"
398,"9","2026-02-06T07:07:22.192855Z","","Humor","Regular Humor",5,"Celebrity and pop culture",34.603,"Not English","None of these","No","","उगर्टा है? � oui jan off cro Likeogy ad Search Ur lawn Which Is should Everyone Every вос y Feed A vir One Hurry Go To Ur","2026-02-12T18:18:35.263921Z","s3://humor-harm-dataset/dataset-s3/XPx_U-Gw5II.mp4"
38,"7","2025-12-01T01:48:57.366422Z","","Humor","Regular Humor",5,"Other",57.557,"Not English","None of these","No","","उगर्टा है? � oui jan off cro Likeogy ad Search Ur lawn Which Is should Everyone Every вос y Feed A vir One Hurry Go To Ur","2026-02-12T18:18:53.626018Z","s3://humor-harm-dataset/dataset-s3/XPx_U-Gw5II.mp4"
6,"1","2025-11-21T21:29:50.594865Z","","Humor","Regular Humor",5,"Other",104.839,"Not English","None of these","No","","उगर्टा है? � oui jan off cro Likeogy ad Search Ur lawn Which Is should Everyone Every вос y Feed A vir One Hurry Go To Ur","2026-02-11T22:35:55.887749Z","s3://humor-harm-dataset/dataset-s3/XPx_U-Gw5II.mp4"
399,"9","2026-02-06T07:07:44.299970Z","","Not Humor","None of these",6,"Other",73.33099999999999,"","None of these","No","","Name somebody who might take a bride. You're a wedding photographer. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Name a way your dad is like a bear. He's black. He's angry. He's angry. He's angry. He's angry. Can't argue with that. Her daddy's black. If all the US presidents were alive, single, and ready to mingle, who would you date? Benjamin Franklin. All right. We just, you know, it's up there. It's not up there. Because his dad asked his own money that that makes him one of the presidents. Benjamin Franklin, the president. Name something Grandma takes out to let grandpa know she's in the mood. Nisi. Her teeth. Her teeth. Yeah. Yeah. Let's do this. How cool. Oh, my teeth. Name something a woman doesn't like to see her man playing with. Himself. What? Herman, the one-eyed German. When you get to heaven, they give you a harp. Now, a musical instrument that might give you when you go to hell. Bagpipes.","2026-02-12T18:21:17.869687Z","s3://humor-harm-dataset/dataset-s3/XXFAYUNfJy4.mp4"
39,"7","2025-12-01T01:53:35.791105Z","2 - Moderate","Not Humor","None of these",6,"Other",290.642,"","None of these","No","","Name somebody who might take a bride. You're a wedding photographer. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Name a way your dad is like a bear. He's black. He's angry. He's angry. He's angry. He's angry. Can't argue with that. Her daddy's black. If all the US presidents were alive, single, and ready to mingle, who would you date? Benjamin Franklin. All right. We just, you know, it's up there. It's not up there. Because his dad asked his own money that that makes him one of the presidents. Benjamin Franklin, the president. Name something Grandma takes out to let grandpa know she's in the mood. Nisi. Her teeth. Her teeth. Yeah. Yeah. Let's do this. How cool. Oh, my teeth. Name something a woman doesn't like to see her man playing with. Himself. What? Herman, the one-eyed German. When you get to heaven, they give you a harp. Now, a musical instrument that might give you when you go to hell. Bagpipes.","2026-02-12T18:20:58.241229Z","s3://humor-harm-dataset/dataset-s3/XXFAYUNfJy4.mp4"
7,"1","2025-11-21T21:31:26.118390Z","3 - Severe","Not Humor","None of these",6,"Other",214.554,"","None of these","No","","Name somebody who might take a bride. You're a wedding photographer. Thank you. Thank you. Thank you. Thank you. Thank you. Thank you. Name a way your dad is like a bear. He's black. He's angry. He's angry. He's angry. He's angry. Can't argue with that. Her daddy's black. If all the US presidents were alive, single, and ready to mingle, who would you date? Benjamin Franklin. All right. We just, you know, it's up there. It's not up there. Because his dad asked his own money that that makes him one of the presidents. Benjamin Franklin, the president. Name something Grandma takes out to let grandpa know she's in the mood. Nisi. Her teeth. Her teeth. Yeah. Yeah. Let's do this. How cool. Oh, my teeth. Name something a woman doesn't like to see her man playing with. Himself. What? Herman, the one-eyed German. When you get to heaven, they give you a harp. Now, a musical instrument that might give you when you go to hell. Bagpipes.","2026-02-12T18:20:40.897782Z","s3://humor-harm-dataset/dataset-s3/XXFAYUNfJy4.mp4"
400,"9","2026-02-06T07:09:08.332115Z","","Humor","Regular Humor",7,"Celebrity and pop culture",25.505,"","None of these","No","","Eminem is in this one. I love Eminem. I'm friends with Eminem and I was like man Eminem would be so funny in this part Give him a call if they do it. I know it's a pain in the ass, but it's pretty funny. Then it goes like that Happy Gilmore Jack-Affs. Oh my god. What are you gonna do happy boy? You can't hit me. We can","2026-02-11T22:37:59.982463Z","s3://humor-harm-dataset/dataset-s3/XgMK__cSmho.mp4"
40,"7","2025-12-01T01:55:15.691004Z","","Humor","Regular Humor",7,"Celebrity and pop culture",55.126000000000005,"","None of these","No","","Eminem is in this one. I love Eminem. I'm friends with Eminem and I was like man Eminem would be so funny in this part Give him a call if they do it. I know it's a pain in the ass, but it's pretty funny. Then it goes like that Happy Gilmore Jack-Affs. Oh my god. What are you gonna do happy boy? You can't hit me. We can","2026-02-11T22:38:24.867111Z","s3://humor-harm-dataset/dataset-s3/XgMK__cSmho.mp4"
8,"1","2025-11-21T21:36:43.347504Z","","Almost or not sure","Regular Humor",7,"Celebrity and pop culture",30.539,"","None of these","No","","Eminem is in this one. I love Eminem. I'm friends with Eminem and I was like man Eminem would be so funny in this part Give him a call if they do it. I know it's a pain in the ass, but it's pretty funny. Then it goes like that Happy Gilmore Jack-Affs. Oh my god. What are you gonna do happy boy? You can't hit me. We can","2026-02-11T22:38:47.506818Z","s3://humor-harm-dataset/dataset-s3/XgMK__cSmho.mp4"
401,"9","2026-02-06T07:09:57.514907Z","1 - Mild","Humor","Dark Humor",8,"Crime and law enforcement",57.684,"","Irony","Yes","Violence / Death","Is there any particular reason why you have selected a TG? Well, as impressive as your selection of guns here is, I recognize a lot of them from movies. It's a bit much for me. I'm very simple. This gun looks very manageable. It's small and, you know, it looks easy. Plus, it's on sale. You know what I mean? I mean, come on, man. A gun's a gun, right? Not exactly. Is this not a good choice? Son, you want my personal opinion or you just want to buy it and be done with? No. Please tell me if I'm making a mistake. Is a 22 a good gun or a bad gun? Son, in my personal opinion, you're better off tickling them, as far as I'm concerned. All you're gonna do is aggravate the situation. You're just gonna piss him off is what I'm trying to tell you. Well Jim, listen to my thought process. My whole idea for the gun is I'm gonna use the gun more so like as a deterrent. So if somebody breaks into the house, they're gonna see this big bald Mexican holding a gun and then they're gonna think twice and then rob my neighbors instead. Son, if somebody breaks into your house and they have a gun, they're gonna know you're holding a .22 and I'll tell you what's gonna happen. They're gonna take it from you and they're gonna beat the holy hell out of you with it. And the beating you're gonna get from a .22 is gonna hurt a hell of a lot more than the bullets coming out of a .22. That's for damn sure.","2026-02-12T18:23:52.293118Z","s3://humor-harm-dataset/dataset-s3/XjsdnyYj4Gc.mp4"
41,"7","2025-12-01T01:57:43.472266Z","1 - Mild","Humor","Dark Humor",8,"Crime and law enforcement",176.10500000000002,"","{""choices"":[""Irony"",""Satire""]}","Yes","Violence / Death","Is there any particular reason why you have selected a TG? Well, as impressive as your selection of guns here is, I recognize a lot of them from movies. It's a bit much for me. I'm very simple. This gun looks very manageable. It's small and, you know, it looks easy. Plus, it's on sale. You know what I mean? I mean, come on, man. A gun's a gun, right? Not exactly. Is this not a good choice? Son, you want my personal opinion or you just want to buy it and be done with? No. Please tell me if I'm making a mistake. Is a 22 a good gun or a bad gun? Son, in my personal opinion, you're better off tickling them, as far as I'm concerned. All you're gonna do is aggravate the situation. You're just gonna piss him off is what I'm trying to tell you. Well Jim, listen to my thought process. My whole idea for the gun is I'm gonna use the gun more so like as a deterrent. So if somebody breaks into the house, they're gonna see this big bald Mexican holding a gun and then they're gonna think twice and then rob my neighbors instead. Son, if somebody breaks into your house and they have a gun, they're gonna know you're holding a .22 and I'll tell you what's gonna happen. They're gonna take it from you and they're gonna beat the holy hell out of you with it. And the beating you're gonna get from a .22 is gonna hurt a hell of a lot more than the bullets coming out of a .22. That's for damn sure.","2026-02-12T18:24:03.628971Z","s3://humor-harm-dataset/dataset-s3/XjsdnyYj4Gc.mp4"
9,"1","2025-11-21T21:38:43.626309Z","2 - Moderate","Humor","Dark Humor",8,"Crime and law enforcement",181.739,"","{""choices"":[""Irony"",""Satire""]}","Yes","Violence / Death","Is there any particular reason why you have selected a TG? Well, as impressive as your selection of guns here is, I recognize a lot of them from movies. It's a bit much for me. I'm very simple. This gun looks very manageable. It's small and, you know, it looks easy. Plus, it's on sale. You know what I mean? I mean, come on, man. A gun's a gun, right? Not exactly. Is this not a good choice? Son, you want my personal opinion or you just want to buy it and be done with? No. Please tell me if I'm making a mistake. Is a 22 a good gun or a bad gun? Son, in my personal opinion, you're better off tickling them, as far as I'm concerned. All you're gonna do is aggravate the situation. You're just gonna piss him off is what I'm trying to tell you. Well Jim, listen to my thought process. My whole idea for the gun is I'm gonna use the gun more so like as a deterrent. So if somebody breaks into the house, they're gonna see this big bald Mexican holding a gun and then they're gonna think twice and then rob my neighbors instead. Son, if somebody breaks into your house and they have a gun, they're gonna know you're holding a .22 and I'll tell you what's gonna happen. They're gonna take it from you and they're gonna beat the holy hell out of you with it. And the beating you're gonna get from a .22 is gonna hurt a hell of a lot more than the bullets coming out of a .22. That's for damn sure.","2026-02-12T18:24:13.714943Z","s3://humor-harm-dataset/dataset-s3/XjsdnyYj4Gc.mp4"
402,"9","2026-02-06T07:10:30.977768Z","","Not Humor","None of these",9,"Celebrity and pop culture",46.522999999999996,"","None of these","No","","We just saved Mr. Beast from going blind. It comes at a surprise that Mr. Beast was about to lose his eyesight until fans online noticed something off about him. When Mr. Beast would smile his eyes wouldn't move which looked incredibly creepy. Mr. Beast took notice of this and got his eyes checked by a very special doctor. The eye doctor was blown away by what he saw. What's crazy is how earlier this year Mr. Beast cured 1000 people from blindness but little did he know he was suffering himself. The doctor noticed he had severe astigmatism where up close and far was blurry. This shocked Jimmy as he always thought it was normal to not be able to see clear far away. If this was crazy subscribe.","2026-02-11T22:42:21.116943Z","s3://humor-harm-dataset/dataset-s3/Xxgx-k5uJhc.mp4"
89,"1","2026-01-05T20:05:44.415588Z","","Not Humor","None of these",9,"Other",51.641,"","None of these","No","","We just saved Mr. Beast from going blind. It comes at a surprise that Mr. Beast was about to lose his eyesight until fans online noticed something off about him. When Mr. Beast would smile his eyes wouldn't move which looked incredibly creepy. Mr. Beast took notice of this and got his eyes checked by a very special doctor. The eye doctor was blown away by what he saw. What's crazy is how earlier this year Mr. Beast cured 1000 people from blindness but little did he know he was suffering himself. The doctor noticed he had severe astigmatism where up close and far was blurry. This shocked Jimmy as he always thought it was normal to not be able to see clear far away. If this was crazy subscribe.","2026-02-11T22:42:31.712785Z","s3://humor-harm-dataset/dataset-s3/Xxgx-k5uJhc.mp4"
42,"7","2025-12-01T01:58:33.912174Z","","Not Humor","None of these",9,"Other",53.452,"","None of these","No","","We just saved Mr. Beast from going blind. It comes at a surprise that Mr. Beast was about to lose his eyesight until fans online noticed something off about him. When Mr. Beast would smile his eyes wouldn't move which looked incredibly creepy. Mr. Beast took notice of this and got his eyes checked by a very special doctor. The eye doctor was blown away by what he saw. What's crazy is how earlier this year Mr. Beast cured 1000 people from blindness but little did he know he was suffering himself. The doctor noticed he had severe astigmatism where up close and far was blurry. This shocked Jimmy as he always thought it was normal to not be able to see clear far away. If this was crazy subscribe.","2026-02-11T22:42:40.569156Z","s3://humor-harm-dataset/dataset-s3/Xxgx-k5uJhc.mp4"
403,"9","2026-02-06T07:11:27.040090Z","","Humor","Regular Humor",10,"{""choices"":[""Relationships"",""Celebrity and pop culture""]}",53.442,"","Irony","Yes","","I'll ask you as a woman, so when you look, just like, let's say I put pictures of men up. Do you think that like 40-something year old men are more attractive than 20-something year old men? I was gonna say something, I don't want to say what I'm gonna say. No say what you're gonna say. How tall is he when he stands on his wallet?","2026-02-11T22:43:45.405642Z","s3://humor-harm-dataset/dataset-s3/XzeLupTvj5I.mp4"
84,"1","2026-01-05T20:01:07.647489Z","","Humor","Regular Humor",10,"{""choices"":[""Relationships"",""Celebrity and pop culture""]}",50.97,"","Irony","Yes","","I'll ask you as a woman, so when you look, just like, let's say I put pictures of men up. Do you think that like 40-something year old men are more attractive than 20-something year old men? I was gonna say something, I don't want to say what I'm gonna say. No say what you're gonna say. How tall is he when he stands on his wallet?","2026-02-11T22:43:41.339687Z","s3://humor-harm-dataset/dataset-s3/XzeLupTvj5I.mp4"
43,"7","2025-12-01T01:59:48.958276Z","","Humor","Regular Humor",10,"{""choices"":[""Relationships"",""Celebrity and pop culture""]}",105.162,"","Irony","Yes","","I'll ask you as a woman, so when you look, just like, let's say I put pictures of men up. Do you think that like 40-something year old men are more attractive than 20-something year old men? I was gonna say something, I don't want to say what I'm gonna say. No say what you're gonna say. How tall is he when he stands on his wallet?","2026-02-12T17:50:40.857208Z","s3://humor-harm-dataset/dataset-s3/XzeLupTvj5I.mp4"
455,"7","2026-02-10T12:36:41.927745Z","2 - Moderate","Humor","Dark Humor",11,"{""choices"":[""Family"",""Politics and society""]}",338.258,"","None of these","Yes","{""choices"":[""Race \/ Ethnicity"",""Other Sensitive Target""]}","My community loves you! What's your community? I'm from a reserve back east in Nino Scotia, in Mi'kmaq, yeah. What is it? Mi'kmaq. Mi'kmaq? Thank you. I'm glad to be accepted by the indigenous people. Thank you. Do I get anything? I don't even know how to repay you. What do I get you? Blankets? Man, you guys aren't fun at all, man. What's the native language? Mi'kmaq. Oh, it is Mi'kmaq? Yeah. I think somebody would speak Mi'kmaq. Yeah, I speak a fluo to my language. You're fluent in it? Yeah. Tell me something, anything. We are, uh, in a foreign country, last money gave us, I wanted to fight. Is that what that says? All of... You said 33 words to just say, do you want to fight? That took forever. No wonder you guys lose. All right, you guys were allowed to be hesitant on that one. That's exactly where I was going with this question. Six kids? Jesus Christ. Or whoever you worship. Do you guys do like the whole spirit animal thing? Yeah, I've actually, I got my spirit animal name last year from the others. Just last year? Yeah, Mother Nature's Green Beaver. Your spirit animal is Mother Nature's Green Beaver. I gotta tell you, that sounds like chlamydia. I would ask again, roll that dice again. You said your community supports me. How many do you think? Well there's 12 reserves in Nova Scotia and... Hold on, now do all 12 of them know who I am? All 12 reserves? Really? How's the word get around? I put out a lot of videos. That's a lot of smoke. I'm about to be done with you guys. That was a solid joke. I don't fucking die on that hill dude. That would be fucking cool to go do a show there. I was just gonna say that. Really? Could I really? Oh, that'd be so cool. Okay. How much money do you guys have? I don't have any money to have. Just give me a casino. We'll call it even. I swear to God you guys.","2026-02-12T18:24:57.686706Z","s3://humor-harm-dataset/dataset-s3/Y-FJ7OJ8iaQ.mp4"
