videoId,title,description,channelId,datePublished,durationSeconds,viewCount,likeCount,commentCount,hashtags,transcript,topic
Ebn7sHwIDkE,Preventing Falls After 65: Essential Precautions | Dr. Neeraja's Tips 👵🛡️,"In this video, Dr. Neeraja from Samagra Hospitals, Guntur, shares key precautions to prevent falls in seniors over 65. Discover simple yet effective strategies to improve safety, maintain balance, and reduce the risk of injury.

#FallPrevention #SeniorHealth #DrNeeraja #SamagraHospitals #Guntur #BestNeuroDoctorInGuntur #HealthyAging",UC-gdeHYGXNGnDD2JEZ35sIQ,2024-10-26T18:30:18Z,49,2609374,37993,397,#BestNeuroDoctorInGuntur #DrNeeraja #FallPrevention #Guntur #HealthyAging #SamagraHospitals #SeniorHealth,,Health and Safety
7_EnnG3IQKY,Top 4 Lifters Who Passed Out Mid-Rep 😵💪 #shorts #funnyshorts #gymfails,"These lifters gave it their all… and then gave out completely. 😵💪
From deadlifts to full-on dropouts, here are the Top 4 lifters who passed out mid-rep — and number 1 is just unreal!
Hit that like button for more hilarious gym fails & shocking workout moments.
#GymFails #LifterBlackouts #FitnessFails #WorkoutFails #FunnyShorts

🎬 This video is for entertainment purposes. No lifters were seriously hurt — just their pride.",UCzPWQSnSiOCSGEci-u-BjhA,2025-05-20T17:00:15Z,51,19580855,658882,1099,#FitnessFails #FunnyShorts #GymFails #LifterBlackouts #WorkoutFails #funnyshorts #gymfails #shorts,,Health and Safety
Moa9kCCy8uQ,laparoscopic Tubectomy #shorts #short #youtubeshorts #short #shortvideo,laparoscopic Tubectomy #shorts #short #youtubeshorts #short #shortvideo,UCHSoZdS3sdqUeOBKyaziJ8Q,2024-06-28T07:17:23Z,12,858441,3197,10,#short #shorts #shortvideo #youtubeshorts,,Health and Safety
7_OKmWQUVWQ,This Little Fighter Beat GBS! Early Detection Saved Him! | Dr. Neeraja,"Meet my favorite little warrior! 🦸‍♂️💙 This adorable kid was diagnosed with Guillain-Barré Syndrome (GBS)—a rare condition that can affect movement and nerves. But thanks to his parents' quick action and early diagnosis, we were able to start treatment on time, and today, he’s back to playing like any other happy child! 🏃‍♂️🎉

Early detection makes all the difference in medical conditions like GBS. Watch this heartwarming story to understand:
✅ Why early signs of GBS matter
✅ How timely treatment can change lives
✅ A doctor’s happiest moments with little patients

👩‍⚕️ Dr. Neeraja | Samagra Hospital, Guntur

💖 Like, Share & Subscribe to spread awareness!

#GBSRecovery #EarlyDetectionSavesLives #DrNeeraja #MedicalMiracle #PediatricCare #DoctorDiaries",UC-gdeHYGXNGnDD2JEZ35sIQ,2025-02-08T09:55:00Z,39,708342,21153,404,#DoctorDiaries #DrNeeraja #EarlyDetectionSavesLives #GBSRecovery #MedicalMiracle #PediatricCare,,Health and Safety
R1WbVmjlXaY,Wash your hands before you eat! 🧼✨ #mealtime #pinkfong,"You're watching ""Wash your hands before you eat! 🧼✨"", an educational and interactive series prepared to you by Pinkfong!

Listen to the ✨BEST of the BEST✨ songs NOW:
https://www.youtube.com/playlist?list=PLQiKLJnked46wEDKReWiaLAABJtPGMb-f

🎥 NEW videos EVERY WEEK:
https://www.youtube.com/playlist?list=PLQiKLJnked47CjZv_84RL77ebulATg9F7

Subscribe Pinkfong Baby Shark Official YouTube channel NOW: https://www.youtube.com/@Pinkfong?sub_confirmation=1

***
★ Subscribe 👶🏼 Bebefinn - Nursery Rhymes & Kids Songs ⭐️
https://www.youtube.com/channel/UC-cY4X2sLECUhishGNiyofQ?sub_confirmation=1
★ Watch 🦈Baby Shark from 👶🏼 Bebefinn: https://link.cleve.re/11982/01
★ Watch the 10 billion viewed Baby Shark Dance 🦈 ➡️https://www.youtube.com/watch?v=XqZsoesa55w
★ Watch Kids' Compilation: https://youtube.com/playlist?list=PLQiKLJnked47YtNDiZvjuyQZZNFpwHM0v


⭐️ Get your Pinkfong Toys NOW at Amazon⭐️
Link :https://www.amazon.com/stores/page/7C8FFD3F-9E0F-421B-8C06-77B2334A8BD3?ingress=0&visitId=721e8ff5-fa80-40bd-9e77-dd73a80dd3b4

🎁 Visit our Official Store:
Buy Pinkfong & Baby Shark Sound Books: https://fong.kr/10826/

★ Download Pinkfong Baby Shark's Best Apps NOW!★
🦈 Baby Shark Kids World App: https://link.cleve.re/11632/28
💕 Pinkfong Plus : https://fong.kr/pinkfongplus.en/14

Follow us on Social Media for new updates and free promotions.
★ Website: https://www.pinkfong.com/en/
★ Instagram: https://www.instagram.com/pinkfong.official/
★ Facebook: https://www.facebook.com/pinkfong.official
★ TikTok: https://www.tiktok.com/@pinkfong_official?lang=ko-KR
★ Twitter: https://twitter.com/Pinkfong

★ Many Thanks to all of our 100 Million Subscribers on Youtube Channels!🎈
Please take a moment, and participate in a survey for better contents ✅
We would love to hear anything from you!
➡️  https://forms.gle/83JN6rvW11oWcB977

--
Copyright © 2025 The Pinkfong Company, Inc.  All Rights Reserved.
#pinkfong #babyshark #pinkfongsongs #pinkfongstories #pinkfongdance #rhymes #forkids",UCcdwLMPsaU2ezNSJU1nFoBQ,2025-05-01T12:00:46Z,20,10126244,71461,0,#babyshark #forkids #mealtime #pinkfong #pinkfongdance #pinkfongsongs #pinkfongstories #rhymes,,Health and Safety
GBeOwFxXmwE,Baby runs away from the hospital! 😂👶💨 #Shorts,"This baby said “I’m outta here!” 😅🏃‍♂️
Funniest baby escape ever! 👶💨

#BabyEscape #FunnyShorts #ViralShorts #BabyRun #ComedyShorts",UCb8ZDJst39-gyxfc5Q7dLJw,2025-10-13T14:49:22Z,10,1380919,3807,49,#BabyEscape #BabyRun #ComedyShorts #FunnyShorts #Shorts #ViralShorts,,Health and Safety
ny-_jXpHGk4,PM Modi casts his vote in the Vice Presidential Election 2025 | #shorts,"Prime Minister Narendra Modi casts his vote in the Vice Presidential election in 2025 at the parliament house in New Delhi.
#pmmodi #narendramodi #vicepresidentelection2025  

To Subscribe PM Narendra Modi's YouTube Channel click now at https://goo.gl/8qsb5E  and stay updated🔔

To Follow PM Narendra Modi's WhatsApp Channel, click now at  https://www.whatsapp.com/channel/0029Va8IaebCMY0C8oOkQT1F

PM Narendra Modi's other social media platforms:

► Download the NM App: http://nm4.in/dnldapp
► Like us on Facebook: https://facebook.com/narendramodi
► Follow us on Twitter: https://twitter.com/narendramodi
► Follow us on Instagram: http://instagram.com/narendramodi",UC1NF71EwP41VdjAU1iXdLkw,2025-09-09T06:07:34Z,52,1584669,57172,1122,#narendramodi #pmmodi #shorts #vicepresidentelection2025,,Politics and Society
mGsz_jNTyI4,Amritpal ਏਜੰਸੀਆਂ ਦਾ ਬੰਦਾ- Sukhbir Badal | Khadoor Sahib Lok Sabha Election | N18S,"Amritpal ਏਜੰਸੀਆਂ ਦਾ ਬੰਦਾ- Sukhbir Badal | Khadoor Sahib Lok Sabha Election | N18S
#shorts #khadoorsahibnews #news18punjab #sukhbirsinghbadal #amritpalsingh 

Find Latest News, Top Headline And breaking news Watch your favorite newspapers News18 Punjab Himachal Haryana websites.

For All Live Coverage, Exclusive And Latest News Update, Watch The LIVE TV Of News18 Punjab/Haryana/Himachal, Catch The Latest News LIVE
News18 Mobile App: https://onelink.to/desc-youtube

News 18 Punjab/Haryana/Himachal is an exclusive news channel on YouTube which streams news related to Punjab, Haryana, Himachal Pradesh, Nation and the World. Along with the news, the channel also has debates on contemporary topics and shows on special series which are interesting and informative.

News18 ਪੰਜਾਬ/हरियाणा/हिमाचल एक क्षेत्रीय न्यूज़ चैनल है जिसपर ਪੰਜਾਬ, हरियाणा, हिमाचल, देश एवं विदेश की खबरें प्रकाशित की जाती हैं | समाचारों क साथ-साथ इस चैनल पर समकालीन विषयों पर वाद-विवाद एवं विशेष सीरीज भी प्रकाशित होती हैं जो की काफी रोचक एवं सूचनापूर्ण हैं | n18oc_elections | n18oc_shorts

Subscribe to our channel: http://bit.ly/1IMIp73 

For Latest news and updates, log on to: https://bit.ly/2Cx91Ok

For Latest news and updates, log on to: 
https://onelink.to/desc-youtube

Follow Us on Twitter:
https://twitter.com/News18Haryana 
https://twitter.com/News18Himachal 
https://twitter.com/News18Punjab 

Like Us on Facebook:
https://www.facebook.com/News18Haryana/ 
https://www.facebook.com/News18Himachal/ 
https://www.facebook.com/News18Punjab",UC-crZTQNRzZgzyighTKF0nQ,2024-05-29T16:31:32Z,60,1714245,35000,1376,#amritpalsingh #khadoorsahibnews #news18punjab #shorts #sukhbirsinghbadal,,Politics and Society
01hp-B6itRY,REVEALED: Labours plans to raise your taxes,SUBSCRIBE for more 👉 http://youtube.com/conservatives?sub_confirmation=1,UCXNSyuKeoiHOld1OS3kHuVg,2025-06-25T13:45:41Z,49,735655,,2407,,,Politics and Society
5oz6JJ-hbkw,(EXPIRED) How To: SECRET RobTop Icon #gd,"Today I show you how to claim the Geometry Dash Awards/RobTop Icon, which is available for a limited time!

Discord Server ▶ https://discord.gg/7RyT5R5DNU

#gd 
#robtop",UC3LpCKlKUtKi4Q5WEyIyunQ,2025-02-18T18:02:21Z,14,1194184,14526,176,#gd #robtop,,Politics and Society
EoMXm4TU5yk,How to hide apps on Android,"To hide an app on Android open the Settings, Go to Home Screen, Hide Apps on Home and App Screens and now select the Apps you want to Hide.

#tutorial #android #hideapps #tricks #secrets #secret",UCXtyKQlii_PcsodqfgY_dfA,2024-12-31T18:37:17Z,19,1542898,9183,87,#android #hideapps #secret #secrets #tricks #tutorial,,Politics and Society
44dNCrgYU3c,How To Fold A Suit Jacket For Travel,"Shop the suit: https://hespokestyle.com/product/medium-gray-twill-suit/

Join the community as an insider:
https://hespokestyle.com/newsletter-sign-up-youtube/

Shop essential menswear:
https://hespokestyle.com/shop/

Browse the essential men’s style library:
https://kit.co/hespokestyle/essential-library-of-men-s-style-books

---

NEW VIEWER? START HERE
https://www.youtube.com/playlist?list=PL3v2lRj6jZMeVLnSveZFagb48MaeGfAmo

---

WHO AM I? GET TO KNOW ME BETTER:
5 Things I Regret Buying The Most
https://www.youtube.com/watch?v=fEE5fURfTUk&list=PL3v2lRj6jZMdj2TKL6JezNG_DqudHnRLB&index=5

Reacting To Your Assumptions About Me
https://www.youtube.com/watch?v=cE0Qsgr1TbE

5 Things I Wish I Knew In My 20s
https://www.youtube.com/watch?v=04N8PCUMMaQ&list=PL3v2lRj6jZMdj2TKL6JezNG_DqudHnRLB&index=4

---

CONNECT WITH ME
Website: https://hespokestyle.com/
Instagram: https://www.instagram.com/hespokestyle
TikTok: https://www.tiktok.com/@hespokestyle
Pinterest: https://www.pinterest.com/hespokestyle/
Facebook: https://www.facebook.com/hespokestyle

For business inquiries and to work with Brian Sacawa or He Spoke Style, please email Ms. Stephanie Barron at stephanie@estatefive.vip.

Contains affiliate links // Stay tailored!

#hespokestyle #travelhacks #menswear",UC4A7_ROn-bKRIHaRxfWVaOw,2025-02-09T14:00:04Z,50,525569,8037,34,#hespokestyle #menswear #travelhacks,,Politics and Society
4WbB38xdqbk,ਮੁੱਖ ਮੰਤਰੀ ਨੇ ਠੋਕ 'ਤੇ ਸਾਰੇ #shorts #reels #flood #floodinpunjab #mariyamnawaz #cm #punjab,"ਮੁੱਖ ਮੰਤਰੀ ਨੇ ਠੋਕ 'ਤੇ ਸਾਰੇ #shorts #reels #flood #floodinpunjab #mariyamnawaz #cm #punjab 

Welcome to Social Media – your source for interesting and informative content.
All content is edited, narrated, and transformed for news commentary & educational purposes.

We bring you unbiased, ground-level coverage of politics, public issues, and voices from the streets. We believe in fearless journalism that informs, empowers, and speaks the truth.

👉 Subscribe now and be a part of our journey to uncover the truth.”

Shorts,Shorts Video,Viral Video,Reels,Viral reels,Punjab,Punjab Govt,AAP,Punjab CM,Cm Punjab,Bhagwant mann,Bhagwant Mann Punjab,Cm Mann,Today,Viral video,viral,video,reel,shorts,social media,punjabi status,punjabi,reels,viral punjabi video,Social Media,pakistan CM,Pakistan CM,Mariyam nawaz,maryam nawaz,maryam nawaz cm punjab,Flood,flood,flood in punjab,punjab cm,speech",UC7SqfV30WVbonU_dDnFAlzA,2025-09-30T06:52:52Z,25,1297931,27544,445,#cm #flood #floodinpunjab #mariyamnawaz #punjab #reels #shorts,,Politics and Society
fVu0G6nEBSA,I Was Born Into the Gulf Cartel–THIS IS WHAT HAPPENED,"In this clip from 7 Figure Squad Podcast, Jose Escamila Jr. discusses his experience of been born into the gulf cartel, this is what happened.

Matt Sapaula, is a former United States Marine turned veteran entrepreneur.

Matt helps those in transition of a new career and occupation to become an entrepreneur while acquiring the confidence, mindset and skills to win the money game. 

Would you like to ""pick Matt's brain""? Set up a consultation here via Minnect app:

https://app.minnect.com/expert/MattSapaula

Grab Matt's Amazon #1 best-selling book - Faith-Made Millionaire: 3 Pillars from the Good Book to Master Your Mindset, Morals and Money 
https://a.co/d/5nJI1Vn

Also grab Matt's newly released Amazon best-seller: GOTCHA: Your Money-Smart GPS Navigating the Five Pitfalls of Financial Freedom 
https://a.co/d/3bpw2Em

Would you like to start your business alongside Matt's mentorship in the life insurance industry?  

Apply here: https://livingmoneysmart.com/moneygame

Meanwhile, share in his journey to gain financial control over daily money matters and live your desired lifestyle.  

Find Matt Sapaula here too:  

http://www.moneysmartguy.com 

https://www.linkedin.com/in/mattsapaula/

http://www.instagram.com/moneysmartguy

http://www.twitter.com/moneysmartguy

http://www.facebook.com/MoneySmartGuyMattSapaula   

MATT SAPAULA YOUTUBE CHANNEL DISCLAIMER: Matt Sapaula is not a registered investment advisor for the offering or sale of securities nor to provide investment advice. Matt only deals in securities subject to an exemption from registration and will only provide investment services to accredited investors as defined by the Illinois Securities Act of 1953.

Matt Sapaula PHP Agency,patrick bet david,PBD Podcast,sales,entrepreneurship,7 figure squad,andrew tate,Gulf Cartel,Secret Weapon,Navy SEAL Training,U.S. Navy SEAL,Sinaloa Cartel,cartel training,cartel family ties,cartel military tactics,cartel insider story,Zetas cartel,Navy SEAL training link,drug cartels,cartel operations,cartel warfare,cartel hierarchy explained,Mexican drug war,cartel power dynamics,cartel supply chain",UC-rcwbOBt9njEyGw9MjTQ_w,2024-11-24T15:00:42Z,40,2123488,97230,2834,#1,,Conflict and Global Events
nHaRE6Ap7Uo,Stellar Blade is BETTER Than God Of War #stellarblade #godofwarragnarok #funnyclips,"i dont know about you guys but im convinced that its better lol

#stellarblade #godofwarragnarok #funnyclips
#shorts #Game #consoles #gamingPC #funnyclips #funny #entertainment #videoGames #PS5 #PS4 #gameplay",UCIKvkI5rL9xV4mM8i0cJEmg,2024-05-01T09:47:15Z,21,1717034,36884,1236,#Game #PS4 #PS5 #consoles #entertainment #funny #funnyclips #gameplay #gamingPC #godofwarragnarok #shorts #stellarblade #videoGames,,Conflict and Global Events
4WCA3dSPV84,Aircraft carriers fleet power by country 2024,"Countries by aircraft carriers fleet strength

Russian and US carriers shown in the animations are used solely for reference and visualization purposes.

🏷️Tags:  #3d #military #comparison #CountryComparison #datacomparison #data

""Admiral Kuznetsov Aircraft Carrier (Prop)"" (https://skfb.ly/oSMPD) by DerpDude is licensed under Creative Commons Attribution

The Chance by Audionautix is licensed under a Creative Commons Attribution 4.0 license. https://creativecommons.org/licenses/by/4.0/

Artist: http://audionautix.com/",UCq7WUBL3ZOH40K0ebMGy4lA,2024-09-28T13:00:08Z,26,5005922,50781,1043,#3d #CountryComparison #comparison #data #datacomparison #military,,Conflict and Global Events
-6vNU12G-J4,She really stood her ground,"While a protest was in full swing and officers blasted water cannons at the crowd, one girl stood frozen in the middle of the street with her bike. Instead of moving out of the way, she stayed put—until the water blast got her too. A mix of protest fails, unexpected bloopers, and instant regret moments caught on camera.

Would you have stayed still or ran for it? 😂

#shorts #youtubeshorts #funnyfails #epicfails #protestfails #funnyvideo #lol #viral #comedy #bloopers #protest #viral",UC1wWqcnOjRtSrxNBpOUTf5w,2025-09-12T16:00:00Z,7,27411265,295803,22140,#bloopers #comedy #epicfails #funnyfails #funnyvideo #lol #protest #protestfails #shorts #viral #youtubeshorts,,Conflict and Global Events
0D_LL8nIK08,Police clash with pro-Palestine protesters at UT Austin,"At the University of Texas at Austin, a student protest in support of Palestine demanding the university divest from companies allegedly contributing to Palestinian deaths led to clashes with police, resulting in 57 arrests.

Story 1: https://cbsaustin.com/news/local/this-was-supposed-to-be-peaceful-dozens-detained-at-ut-austin-protest

Story 2: https://cbsaustin.com/news/local/dps-troopers-detain-protest-organizer-at-ut-austin-pro-palestine-demonstration
_______________
Stay up to date with CBS Austin by downloading our app: https://cbsaustin.com/station/mobile-apps

Follow us on social media:

Facebook: https://www.facebook.com/CBSAustin
Twitter: https://twitter.com/cbsaustin
Instagram: https://www.instagram.com/cbsaustin/
Subscribe to CBS Austin on YouTube: https://www.youtube.com/channel/UCT2FAPpgWOGGXtpheDT6jkQ//?sub_confirmation=1

Daily News Playlist:  https://www.youtube.com/playlist?list=PLztFNpGmRDH0-G8xQ8GAl5b99SvhChtKb

For more information, visit https://cbsaustin.com/

Have a news tip? Send it directly to us: 

Email us: news@cbsaustin.com
Call the Newsroom: 512.490.2199

CBS Austin is a Texas based station and a CBS Television affiliate owned and operated by Sinclair Broadcast Group. Sinclair Broadcast Group, Inc. is one of the largest and most diversified television broadcasting companies in the country today

#KEYE #CBSAustin #News #austin #texas #universityoftexas #palestine #israelpalestineonflict #freespeech #divestment #walkout #activism",UCT2FAPpgWOGGXtpheDT6jkQ,2024-04-25T21:50:50Z,60,560567,17899,7326,#CBSAustin #KEYE #News #activism #austin #divestment #freespeech #israelpalestineonflict #palestine #texas #universityoftexas #walkout,,Conflict and Global Events
Yf6NVXsO_WI,The Most Satisfying Tire Cutting ASMR #shorts #recycle #shortvideo,,UCbD8GCQLh0-PcdqnZLU43JA,2025-04-12T03:55:01Z,18,36036093,61522,67,#recycle #shorts #shortvideo,,Environmental and Ethical Issues
